affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
16,2,new-first,untracked,sprites_fragmented,old,16626.6,13190.2,17807.0,37949.5,123176393.2,0,0,0,0,0
16,2,new-first,untracked,meshes_layers,new,58249.6,51568.0,62475.0,128636.4,35159034.1,0,0,0,0,0
16,2,new-first,untracked,meshes_layers,old,52119.1,49689.5,54948.0,115294.1,39294585.0,0,0,0,0,0
16,2,new-first,untracked,meshes_same_z,new,52266.4,48994.1,61967.6,115795.7,39183868.7,0,0,0,0,0
16,2,new-first,untracked,meshes_same_z,old,49628.1,49309.8,51669.1,110918.7,41266922.7,0,0,0,0,0
16,2,new-first,untracked,meshes_cameras,new,59189.1,56271.5,61087.9,131313.3,34600987.3,0,0,0,0,0
16,2,new-first,untracked,meshes_cameras,old,57804.7,55934.8,60203.1,128456.4,35429652.7,0,0,0,0,0
16,2,new-first,untracked,tmesh_layers,new,66905.9,65725.0,69034.4,147913.8,30610174.0,0,0,0,0,0
16,2,new-first,untracked,tmesh_layers,old,68917.2,67790.2,70057.8,152061.2,29716825.0,0,0,0,0,0
16,2,new-first,untracked,tmesh_16layers,new,68167.6,66582.4,69784.8,151539.0,30043608.1,0,0,0,0,0
16,2,new-first,untracked,tmesh_16layers,old,68219.1,66710.5,68414.1,151040.9,30020900.0,0,0,0,0,0
16,2,new-first,untracked,tmesh_depth,new,70838.3,67061.3,76285.9,155745.6,28910921.7,0,0,0,0,0
16,2,new-first,untracked,tmesh_depth,old,69229.3,68524.6,81080.5,153406.5,29582851.4,0,0,0,0,0
16,2,new-first,untracked,tmesh_cameras,new,75360.2,74464.1,82284.0,167814.7,27176164.5,0,0,0,0,0
16,2,new-first,untracked,tmesh_cameras,old,75515.2,73541.0,78834.8,167485.3,27120355.5,0,0,0,0,0
